val_loss,val_mse,epoch,step,train_loss,train_mse
0.02128155715763569,0.04256311431527138,0,1093,,
,,0,1093,0.01038523018360138,0.02077046036720276
0.022122003138065338,0.044244006276130676,1,2187,,
,,1,2187,0.009085014462471008,0.018170028924942017
0.022438064217567444,0.04487612843513489,2,3281,,
,,2,3281,0.00865281280130148,0.01730562560260296
0.01952529139816761,0.03905058279633522,3,4375,,
,,3,4375,0.008434480056166649,0.016868960112333298
0.016918543726205826,0.03383708745241165,4,5469,,
,,4,5469,0.008330680429935455,0.01666136085987091
0.015523303300142288,0.031046606600284576,5,6563,,
,,5,6563,0.008289468474686146,0.01657893694937229
0.014816579408943653,0.029633158817887306,6,7657,,
,,6,7657,0.008272739127278328,0.016545478254556656
0.014437679201364517,0.028875358402729034,7,8751,,
,,7,8751,0.00826428085565567,0.01652856171131134
0.014220061711966991,0.028440123423933983,8,9845,,
,,8,9845,0.008259200491011143,0.016518400982022285
0.014087319374084473,0.028174638748168945,9,10939,,
,,9,10939,0.008255879394710064,0.016511758789420128
0.014001945964992046,0.028003891929984093,10,12033,,
,,10,12033,0.008253614418208599,0.016507228836417198
0.013944244012236595,0.02788848802447319,11,13127,,
,,11,13127,0.008252030238509178,0.016504060477018356
0.013903096318244934,0.027806192636489868,12,14221,,
,,12,14221,0.008250894024968147,0.016501788049936295
0.013871954753994942,0.027743909507989883,13,15315,,
,,13,15315,0.008250083774328232,0.016500167548656464
0.013846758753061295,0.02769351750612259,14,16409,,
,,14,16409,0.008249501697719097,0.016499003395438194
0.013824967667460442,0.027649935334920883,15,17503,,
,,15,17503,0.008249112404882908,0.016498224809765816
0.01380495447665453,0.02760990895330906,16,18597,,
,,16,18597,0.008248863741755486,0.01649772748351097
0.013785692863166332,0.027571385726332664,17,19691,,
,,17,19691,0.008248723112046719,0.016497446224093437
0.013766603544354439,0.027533207088708878,18,20785,,
,,18,20785,0.008248670026659966,0.01649734005331993
0.013747313991189003,0.027494627982378006,19,21879,,
,,19,21879,0.008248688653111458,0.016497377306222916
0.013727683573961258,0.027455367147922516,20,22973,,
,,20,22973,0.008248763158917427,0.016497526317834854
0.013707654550671577,0.027415309101343155,21,24067,,
,,21,24067,0.008248874917626381,0.016497749835252762
0.013687272556126118,0.027374545112252235,22,25161,,
,,22,25161,0.008249021135270596,0.01649804227054119
0.013666583225131035,0.02733316645026207,23,26255,,
,,23,26255,0.008249176666140556,0.016498353332281113
0.013645773753523827,0.027291547507047653,24,27349,,
,,24,27349,0.008249356411397457,0.016498712822794914
0.013624897226691246,0.027249794453382492,25,28443,,
,,25,28443,0.008249550126492977,0.016499100252985954
0.013604093343019485,0.02720818668603897,26,29537,,
,,26,29537,0.008249741978943348,0.016499483957886696
0.013583504594862461,0.027167009189724922,27,30631,,
,,27,30631,0.008249931037425995,0.01649986207485199
0.013563179410994053,0.027126358821988106,28,31725,,
,,28,31725,0.008250110782682896,0.01650022156536579
0.013543257489800453,0.027086514979600906,29,32819,,
,,29,32819,0.008250285871326923,0.016500571742653847
0.013523826375603676,0.02704765275120735,30,33913,,
,,30,33913,0.008250441402196884,0.01650088280439377
0.013504882343113422,0.027009764686226845,31,35007,,
,,31,35007,0.008250590413808823,0.016501180827617645
0.013486554846167564,0.02697310969233513,32,36101,,
,,32,36101,0.008250724524259567,0.016501449048519135
0.013468807563185692,0.026937615126371384,33,37195,,
,,33,37195,0.008250855840742588,0.016501711681485176
0.013451725244522095,0.02690345048904419,34,38289,,
,,34,38289,0.00825095921754837,0.01650191843509674
0.013435284607112408,0.026870569214224815,35,39383,,
,,35,39383,0.008251055143773556,0.01650211028754711
0.013419502414762974,0.026839004829525948,36,40477,,
,,36,40477,0.008251127786934376,0.01650225557386875
0.013404352590441704,0.026808705180883408,37,41571,,
,,37,41571,0.008251182734966278,0.016502365469932556
0.013389874249696732,0.026779748499393463,38,42665,,
,,38,42665,0.00825123768299818,0.01650247536599636
0.013376022689044476,0.02675204537808895,39,43759,,
,,39,43759,0.00825126376003027,0.01650252752006054
0.013362784869968891,0.026725569739937782,40,44853,,
,,40,44853,0.008251278661191463,0.016502557322382927
0.013350093737244606,0.026700187474489212,41,45947,,
,,41,45947,0.008251293562352657,0.016502587124705315
0.013338000513613224,0.026676001027226448,42,47041,,
,,42,47041,0.008251277729868889,0.016502555459737778
0.013326454907655716,0.026652909815311432,43,48135,,
,,43,48135,0.008251253515481949,0.016502507030963898
0.013315381482243538,0.026630762964487076,44,49229,,
,,44,49229,0.008251223713159561,0.016502447426319122
0.013304786756634712,0.026609573513269424,45,50323,,
,,45,50323,0.00825117714703083,0.01650235429406166
0.013294672593474388,0.026589345186948776,46,51417,,
,,46,51417,0.008251134306192398,0.016502268612384796
0.013284929096698761,0.026569858193397522,47,52511,,
,,47,52511,0.0082510681822896,0.0165021363645792
0.013275615870952606,0.026551231741905212,48,53605,,
,,48,53605,0.008251001127064228,0.016502002254128456
0.013266644440591335,0.02653328888118267,49,54699,,
,,49,54699,0.008250944316387177,0.016501888632774353
0.013258020393550396,0.026516040787100792,50,55793,,
,,50,55793,0.008250866085290909,0.016501732170581818
0.013249734416604042,0.026499468833208084,51,56887,,
,,51,56887,0.008250786922872066,0.016501573845744133
0.013241700828075409,0.026483401656150818,52,57981,,
,,52,57981,0.008250696584582329,0.016501393169164658
0.01323395874351263,0.02646791748702526,53,59075,,
,,53,59075,0.008250618353486061,0.016501236706972122
0.013226478360593319,0.026452956721186638,54,60169,,
,,54,60169,0.008250541985034943,0.016501083970069885
0.01321920845657587,0.02643841691315174,55,61263,,
,,55,61263,0.008250454440712929,0.016500908881425858
0.013212158344686031,0.026424316689372063,56,62357,,
,,56,62357,0.008250375278294086,0.016500750556588173
0.01320530753582716,0.02641061507165432,57,63451,,
,,57,63451,0.008250288665294647,0.016500577330589294
0.013198664411902428,0.026397328823804855,58,64545,,
,,58,64545,0.00825021043419838,0.01650042086839676
0.013192162849009037,0.026384325698018074,59,65639,,
,,59,65639,0.008250128477811813,0.016500256955623627
0.013185814023017883,0.026371628046035767,60,66733,,
,,60,66733,0.008250055834650993,0.016500111669301987
0.013179644010961056,0.02635928802192211,61,67827,,
,,61,67827,0.008249983191490173,0.016499966382980347
0.013173590414226055,0.02634718082845211,62,68921,,
,,62,68921,0.008249918930232525,0.01649983786046505
0.013167687691748142,0.026335375383496284,63,70015,,
,,63,70015,0.008249844424426556,0.01649968884885311
0.013161888346076012,0.026323776692152023,64,71109,,
,,64,71109,0.008249793201684952,0.016499586403369904
0.013156212866306305,0.02631242573261261,65,72203,,
,,65,72203,0.008249729871749878,0.016499459743499756
0.01315064262598753,0.02630128525197506,66,73297,,
,,66,73297,0.008249680511653423,0.016499361023306847
0.013145193457603455,0.02629038691520691,67,74391,,
,,67,74391,0.008249631151556969,0.016499262303113937
0.013139855116605759,0.026279710233211517,68,75485,,
,,68,75485,0.008249597623944283,0.016499195247888565
0.01313459686934948,0.02626919373869896,69,76579,,
,,69,76579,0.008249557577073574,0.016499115154147148
0.01312942523509264,0.02625885047018528,70,77673,,
,,70,77673,0.00824951846152544,0.01649903692305088
0.01312432810664177,0.02624865621328354,71,78767,,
,,71,78767,0.008249500766396523,0.016499001532793045
0.013119356706738472,0.026238713413476944,72,79861,,
,,72,79861,0.008249483071267605,0.01649896614253521
0.013114462606608868,0.026228925213217735,73,80955,,
,,73,80955,0.008249463513493538,0.016498927026987076
0.013109635561704636,0.02621927112340927,74,82049,,
,,74,82049,0.008249449543654919,0.016498899087309837
0.013104925863444805,0.02620985172688961,75,83143,,
,,75,83143,0.008249451406300068,0.016498902812600136
0.013100254349410534,0.026200508698821068,76,84237,,
,,76,84237,0.00824944768100977,0.01649889536201954
0.013095690868794918,0.026191381737589836,77,85331,,
,,77,85331,0.008249456062912941,0.016498912125825882
0.013091228902339935,0.02618245780467987,78,86425,,
,,78,86425,0.008249462582170963,0.016498925164341927
0.013086811639368534,0.026173623278737068,79,87519,,
,,79,87519,0.008249472826719284,0.016498945653438568
0.013082494959235191,0.026164989918470383,80,88613,,
,,80,88613,0.008249488659203053,0.016498977318406105
0.013078246265649796,0.02615649253129959,81,89707,,
,,81,89707,0.008249512873589993,0.016499025747179985
0.013074062764644623,0.026148125529289246,82,90801,,
,,82,90801,0.008249534294009209,0.016499068588018417
0.013069969601929188,0.026139939203858376,83,91895,,
,,83,91895,0.008249563165009022,0.016499126330018044
0.013065935112535954,0.026131870225071907,84,92989,,
,,84,92989,0.008249596692621708,0.016499193385243416
0.01306200958788395,0.0261240191757679,85,94083,,
,,85,94083,0.00824962742626667,0.01649925485253334
0.013058141805231571,0.026116283610463142,86,95177,,
,,86,95177,0.008249669335782528,0.016499338671565056
0.01305434200912714,0.02610868401825428,87,96271,,
,,87,96271,0.008249713107943535,0.01649942621588707
0.013050626032054424,0.02610125206410885,88,97365,,
,,88,97365,0.008249755948781967,0.016499511897563934
0.013046972453594208,0.026093944907188416,89,98459,,
,,89,98459,0.008249806240200996,0.016499612480401993
0.013043422251939774,0.026086844503879547,90,99553,,
,,90,99553,0.008249855600297451,0.016499711200594902
0.013039891608059406,0.026079783216118813,91,100647,,
,,91,100647,0.008249904960393906,0.01649980992078781
0.013036472722887993,0.026072945445775986,92,101741,,
,,92,101741,0.008249962702393532,0.016499925404787064
0.01303310226649046,0.02606620453298092,93,102835,,
,,93,102835,0.008250010199844837,0.016500020399689674
