val_loss,val_mse,epoch,step,train_loss,train_mse,test_loss,test_mse
0.008436244912445545,0.01687248982489109,0,1093,,,,
,,0,1093,0.010544399730861187,0.021088799461722374,,
0.008187811821699142,0.016375623643398285,1,2187,,,,
,,1,2187,0.008231468498706818,0.016462936997413635,,
0.008030939847230911,0.016061879694461823,2,3281,,,,
,,2,3281,0.008022616617381573,0.016045233234763145,,
0.007926766760647297,0.015853533521294594,3,4375,,,,
,,3,4375,0.00788652990013361,0.01577305980026722,,
0.007855669595301151,0.015711339190602303,4,5469,,,,
,,4,5469,0.007801158353686333,0.015602316707372665,,
0.0077909063547849655,0.015581812709569931,5,6563,,,,
,,5,6563,0.007732733152806759,0.015465466305613518,,
0.007728371769189835,0.01545674353837967,6,7657,,,,
,,6,7657,0.0076774419285357,0.0153548838570714,,
0.007673698477447033,0.015347396954894066,7,8751,,,,
,,7,8751,0.007624510210007429,0.015249020420014858,,
0.007627053651958704,0.015254107303917408,8,9845,,,,
,,8,9845,0.007578786928206682,0.015157573856413364,,
0.007579987868666649,0.015159975737333298,9,10939,,,,
,,9,10939,0.007537675090134144,0.015075350180268288,,
0.007539493031799793,0.015078986063599586,10,12033,,,,
,,10,12033,0.007498876191675663,0.014997752383351326,,
0.007506369147449732,0.015012738294899464,11,13127,,,,
,,11,13127,0.007461691740900278,0.014923383481800556,,
0.007497038692235947,0.014994077384471893,12,14221,,,,
,,12,14221,0.007426293566823006,0.014852587133646011,,
0.0074489181861281395,0.014897836372256279,13,15315,,,,
,,13,15315,0.007393438369035721,0.014786876738071442,,
0.007425656542181969,0.014851313084363937,14,16409,,,,
,,14,16409,0.0073545584455132484,0.014709116891026497,,
0.007397611625492573,0.014795223250985146,15,17503,,,,
,,15,17503,0.007319004740566015,0.01463800948113203,,
0.007358664646744728,0.014717329293489456,16,18597,,,,
,,16,18597,0.007285910192877054,0.014571820385754108,,
0.007349822204560041,0.014699644409120083,17,19691,,,,
,,17,19691,0.00725182518362999,0.01450365036725998,,
0.0073416042141616344,0.014683208428323269,18,20785,,,,
,,18,20785,0.007222628686577082,0.014445257373154163,,
0.0073003568686544895,0.014600713737308979,19,21879,,,,
,,19,21879,0.0071982755325734615,0.014396551065146923,,
0.007269755937159061,0.014539511874318123,20,22973,,,,
,,20,22973,0.007172258570790291,0.014344517141580582,,
0.00725505081936717,0.01451010163873434,21,24067,,,,
,,21,24067,0.007147063966840506,0.014294127933681011,,
0.00724138505756855,0.0144827701151371,22,25161,,,,
,,22,25161,0.00712624192237854,0.01425248384475708,,
0.007216379512101412,0.014432759024202824,23,26255,,,,
,,23,26255,0.007103912532329559,0.014207825064659119,,
0.0072089494206011295,0.014417898841202259,24,27349,,,,
,,24,27349,0.0070847258903086185,0.014169451780617237,,
0.007196856662631035,0.01439371332526207,25,28443,,,,
,,25,28443,0.0070593529380857944,0.014118705876171589,,
0.0071928477846086025,0.014385695569217205,26,29537,,,,
,,26,29537,0.007041165605187416,0.014082331210374832,,
0.0071739149279892445,0.014347829855978489,27,30631,,,,
,,27,30631,0.007025915663689375,0.01405183132737875,,
0.007140469271689653,0.014280938543379307,28,31725,,,,
