temperature_24,temperature_48
17.799999237060547,19.89999961853028
17.399999618530273,19.100000381469727
17.100000381469727,19.5
16.899999618530273,19.799999237060547
16.700000762939453,19.799999237060547
16.799999237060547,19.39999961853028
16.799999237060547,22.800000190734863
16.899999618530273,26.200000762939453
16.799999237060547,26.299999237060547
16.700000762939453,24.299999237060547
16.799999237060547,20.39999961853028
16.600000381469727,21.700000762939453
16.299999237060547,22.299999237060547
16.100000381469727,20.700000762939453
17.200000762939453,19.5
18.89999961853028,19.5
22.0,19.0
25.100000381469727,18.299999237060547
26.200000762939453,18.39999961853028
27.100000381469727,18.200000762939453
27.700000762939453,0.1000000014901161
28.5,18.0
29.299999237060547,18.39999961853028
30.0,19.0
30.600000381469727,19.100000381469727
31.100000381469727,19.600000381469727
30.799999237060547,19.89999961853028
32.20000076293945,19.89999961853028
32.0,20.100000381469727
32.900001525878906,20.799999237060547
33.79999923706055,21.700000762939453
33.29999923706055,22.299999237060547
34.20000076293945,22.0
34.0,22.600000381469727
33.20000076293945,21.600000381469727
33.20000076293945,21.799999237060547
29.0,21.100000381469727
28.89999961853028,20.0
28.5,19.799999237060547
27.0,19.5
26.39999961853028,19.200000762939453
25.799999237060547,18.0
26.0,16.799999237060547
25.200000762939453,16.100000381469727
25.100000381469727,15.399999618530272
23.700000762939453,15.300000190734863
23.0,14.800000190734863
21.600000381469727,14.5
19.89999961853028,14.399999618530272
19.100000381469727,14.199999809265137
19.5,14.0
19.799999237060547,13.5
19.799999237060547,13.600000381469728
19.39999961853028,13.399999618530272
22.800000190734863,13.5
26.200000762939453,14.600000381469728
26.299999237060547,14.699999809265137
24.299999237060547,14.800000190734863
20.39999961853028,14.800000190734863
21.700000762939453,14.800000190734863
22.299999237060547,14.899999618530272
20.700000762939453,15.0
19.5,15.0
19.5,15.100000381469728
19.0,15.100000381469728
18.299999237060547,15.199999809265137
18.39999961853028,15.600000381469728
18.200000762939453,15.800000190734863
0.1000000014901161,16.299999237060547
18.0,16.700000762939453
18.39999961853028,17.700000762939453
19.0,18.700000762939453
19.100000381469727,19.299999237060547
19.600000381469727,20.700000762939453
19.89999961853028,21.700000762939453
19.89999961853028,22.799999237060547
20.100000381469727,22.200000762939453
20.799999237060547,21.700000762939453
21.700000762939453,22.299999237060547
22.299999237060547,23.200000762939453
22.0,23.600000381469727
22.600000381469727,23.89999961853028
21.600000381469727,25.799999237060547
21.799999237060547,25.700000762939453
21.100000381469727,24.799999237060547
20.0,23.700000762939453
19.799999237060547,23.100000381469727
19.5,22.5
19.200000762939453,21.89999961853028
18.0,21.0
16.799999237060547,19.299999237060547
16.100000381469727,18.600000381469727
15.399999618530272,18.200000762939453
15.300000190734863,17.5
14.800000190734863,17.700000762939453
14.5,17.399999618530273
14.399999618530272,17.100000381469727
14.199999809265137,17.100000381469727
14.0,17.799999237060547
13.5,17.200000762939453
13.600000381469728,16.899999618530273
13.399999618530272,16.899999618530273
13.5,16.899999618530273
14.600000381469728,16.299999237060547
14.699999809265137,16.0
14.800000190734863,16.299999237060547
14.800000190734863,15.5
14.800000190734863,15.300000190734863
14.899999618530272,15.600000381469728
15.0,16.100000381469727
15.0,17.100000381469727
15.100000381469728,18.299999237060547
15.100000381469728,19.200000762939453
15.199999809265137,19.700000762939453
15.600000381469728,20.700000762939453
15.800000190734863,22.600000381469727
16.299999237060547,23.0
16.700000762939453,22.89999961853028
17.700000762939453,23.600000381469727
18.700000762939453,27.5
19.299999237060547,26.299999237060547
20.700000762939453,28.200000762939453
21.700000762939453,28.700000762939453
22.799999237060547,27.0
22.200000762939453,27.0
21.700000762939453,27.39999961853028
22.299999237060547,26.799999237060547
23.200000762939453,28.100000381469727
23.600000381469727,29.0
23.89999961853028,28.89999961853028
25.799999237060547,25.39999961853028
25.700000762939453,26.799999237060547
